Comment,Designator,Footprint,LCSC,Quantity
1kΩ,R4,R_0402_1005Metric,C11702,1
1μF,"C5,C8,C9",C_0402_1005Metric,C14445,3
0.1μF,"C10,C11,C12,C13,C14,C15,C16,C17,C18,C4",C_0402_1005Metric,C1525,10
27pF,"C6,C7",C_0402_1005Metric,C1557,2
RP2040,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040,1
4.7μF,C2,C_0402_1005Metric,C23687,1
22Ω,"R6,R7",R_0402_1005Metric,C25092,2
470Ω,R1,R_0402_1005Metric,C25117,1
10kΩ,"R5,R8",R_0402_1005Metric,C25531,2
5.1kΩ,"R2,R3",R_0402_1005Metric,C25905,2
D,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D5,D6,D7,D8,D9",D_SOD-523,C27748,48
SW_Push,"SW48,SW49",TSA017A2530B_C2888436,C2888436,2
USB_C_Receptacle_USB2.0_14P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C393939,1
Crystal_GND24,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C403945,1
YS-SK6812MINI-E,"LED1,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED2,LED20,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED28,LED29,LED3,LED30,LED31,LED32,LED33,LED34,LED35,LED36,LED37,LED38,LED39,LED4,LED40,LED41,LED42,LED43,LED44,LED45,LED46,LED47,LED5,LED6,LED7,LED8,LED9",YS-SK6812MINI-E,C5149201,47
10μF,C3,C_0402_1005Metric,C76991,1
W25Q32JVSSIQ,U2,WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm,C82344,1
LP2985-3.3,U3,SOT-23-5,C95414,1
